City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Livingstone,ZM,75.72,clear sky,-17.84,25.85,Gloria's Bed and Breakfast
3,Butaritari,KI,81.79,clear sky,3.07,172.79,Isles Sunset Lodge
9,Harper,LR,78.04,broken clouds,4.38,-7.72,Screensaver
14,Kathu,TH,77.0,broken clouds,7.92,98.33,Novotel Phuket Resort
15,Isangel,VU,77.4,clear sky,-19.55,169.27,Volcano Sea View Tree House
17,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Acapulco,MX,86.72,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
26,Galveston,US,75.99,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
31,Alofi,NU,75.2,light rain,-19.06,-169.92,Taloa Heights
35,Dingle,PH,75.65,overcast clouds,11.0,122.67,Camp Pasica
36,Soure,BR,84.2,clear sky,-0.72,-48.52,Hotel Marajó
41,Ngama,TD,87.75,broken clouds,11.78,17.17,
42,Bengkulu,ID,75.18,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
44,Taoudenni,ML,83.89,overcast clouds,22.68,-3.98,
48,Namatanai,PG,80.42,overcast clouds,-3.67,152.43,Namatanai Hotel
53,San-Pedro,CI,77.52,broken clouds,4.75,-6.64,Hotel Maria
56,Sorong,ID,81.18,light rain,-0.88,131.25,The Waigo Hotel
61,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
66,Soc Trang,VN,78.8,moderate rain,9.6,105.98,Phu Qui Hotel
68,Barreiras,BR,83.8,light rain,-12.15,-44.99,Hotel Solar das Mangueiras - Barreiras
74,Atuona,PF,77.99,light rain,-9.8,-139.03,Villa Enata
76,Lompoc,US,82.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
79,Lufilufi,WS,84.2,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
82,Dapaong,TG,82.76,clear sky,10.86,0.2,Hotel Caroli
85,Keti Bandar,PK,79.29,clear sky,24.14,67.45,Haji laloo memon house
86,Daru,PG,80.67,overcast clouds,-9.08,143.21,New century hotel
88,Kapaa,US,80.01,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
91,Faanui,PF,79.9,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Mana,GF,84.43,overcast clouds,5.66,-53.78,LE SAMANA
100,Tiarei,PF,80.6,shower rain,-17.53,-149.33,Le Rocher de Tahiti
102,Half Moon Bay,US,77.0,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
104,Rancho Palos Verdes,US,75.99,broken clouds,33.74,-118.39,Terranea Resort
115,Inhambane,MZ,75.2,scattered clouds,-23.86,35.38,Oceano
120,Sao Filipe,CV,79.23,scattered clouds,14.9,-24.5,Tortuga B&B
121,Hobyo,SO,80.76,light rain,5.35,48.53,Osmani Hotel
122,Magdalena,PH,77.0,light rain,14.2,121.43,Bahay Ni Luz Bed & Breakfast
123,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
126,Pemangkat,ID,79.56,moderate rain,1.17,108.97,Kost H.Syamsuddin
131,El Alto,PE,77.0,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
134,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
138,Bang Len,TH,82.99,few clouds,14.02,100.17,รักษ์นที รีสอร์ท
147,Buchanan,LR,78.42,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
148,Hilo,US,82.0,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
154,Hithadhoo,MV,83.23,light rain,-0.6,73.08,Scoop Guest House
155,Kavieng,PG,82.81,few clouds,-2.57,150.8,Nusa Island Retreat
161,Palmas,BR,86.0,shower rain,-10.21,-48.36,Hotel Lago da Palma
166,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
168,Mogadishu,SO,79.84,light rain,2.04,45.34,Hotel Juba
175,Iralaya,HN,81.68,moderate rain,15.0,-83.23,Iglesia morava renovada
176,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
179,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
183,Pocone,BR,89.49,few clouds,-16.26,-56.62,Hotel e Churrascaria Pantaneira
189,Kapoeta,SS,82.83,clear sky,4.77,33.59,Eastgate Hotel
190,Guerrero Negro,MX,81.32,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
