City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.78,147.06,51.01,69,34,2.42,AU,2020-10-31 19:45:46
1,Chokurdakh,70.63,147.92,-4.67,92,98,7.9,RU,2020-10-31 19:48:27
2,Waipawa,-41.41,175.52,61.0,72,6,16.11,NZ,2020-10-31 19:48:27
3,Taoudenni,22.68,-3.98,81.73,16,100,10.63,ML,2020-10-31 19:48:27
4,Sinnamary,5.38,-52.95,84.22,71,100,11.86,GF,2020-10-31 19:48:28
5,Santa Barbara,34.73,-120.03,87.01,18,1,3.36,US,2020-10-31 19:48:28
6,Dire,12.28,-10.97,80.04,42,71,2.57,ML,2020-10-31 19:48:28
7,Mataura,-46.19,168.86,54.0,74,51,5.99,NZ,2020-10-31 19:48:28
8,Touros,-5.2,-35.46,84.2,70,40,14.99,BR,2020-10-31 19:46:31
9,Mikkeli,61.69,27.27,39.2,93,90,5.82,FI,2020-10-31 19:48:28
10,Mana,5.66,-53.78,85.1,69,62,14.07,GF,2020-10-31 19:48:29
11,Avarua,-21.21,-159.78,75.2,78,100,10.29,CK,2020-10-31 19:48:29
12,Ushuaia,-54.8,-68.3,55.4,58,90,4.7,AR,2020-10-31 19:48:29
13,Kodiak,57.79,-152.41,33.8,55,1,3.36,US,2020-10-31 19:46:09
14,Dunkwa,5.97,-1.78,75.29,93,54,2.53,GH,2020-10-31 19:48:29
15,Rikitea,-23.12,-134.97,75.24,69,0,6.87,PF,2020-10-31 19:48:30
16,Bredasdorp,-34.53,20.04,57.2,71,0,5.82,ZA,2020-10-31 19:48:30
17,Albany,42.6,-73.97,44.01,67,0,6.24,US,2020-10-31 19:48:30
18,Castro,-24.79,-50.01,59.0,80,95,9.01,BR,2020-10-31 19:44:20
19,Qaanaaq,77.48,-69.36,9.9,83,95,6.82,GL,2020-10-31 19:48:31
20,Oruro,-17.98,-67.15,64.22,23,10,8.46,BO,2020-10-31 19:48:31
21,Upernavik,72.79,-56.15,16.84,96,99,14.05,GL,2020-10-31 19:45:52
22,Port Alfred,-33.59,26.89,63.54,81,65,12.97,ZA,2020-10-31 19:48:31
23,Kapaa,22.08,-159.32,82.0,78,1,6.87,US,2020-10-31 19:47:50
24,Yellowknife,62.46,-114.35,21.2,85,90,14.99,CA,2020-10-31 19:45:04
25,Hermanus,-34.42,19.23,57.99,74,0,5.01,ZA,2020-10-31 19:48:33
26,Abnub,27.27,31.15,75.2,64,0,13.87,EG,2020-10-31 19:48:33
27,Codrington,-38.27,141.97,46.44,91,20,3.2,AU,2020-10-31 19:48:34
28,Ostrovnoy,68.05,39.51,27.3,95,41,15.23,RU,2020-10-31 19:48:34
29,Cape Town,-33.93,18.42,62.6,59,0,20.8,ZA,2020-10-31 19:48:34
30,Atuona,-9.8,-139.03,78.55,74,23,17.54,PF,2020-10-31 19:45:48
31,Dikson,73.51,80.55,17.08,97,100,12.1,RU,2020-10-31 19:45:45
32,Hobart,-42.88,147.33,53.6,66,75,5.82,AU,2020-10-31 19:44:03
33,Tuktoyaktuk,69.45,-133.04,-4.0,83,40,5.82,CA,2020-10-31 19:48:35
34,Anadyr,64.75,177.48,5.0,84,40,4.47,RU,2020-10-31 19:48:35
35,Isangel,-19.55,169.27,76.5,73,95,16.2,VU,2020-10-31 19:48:35
36,Karratha,-20.74,116.85,69.04,81,0,11.18,AU,2020-10-31 19:46:44
37,Vaini,-21.2,-175.2,73.4,88,90,11.41,TO,2020-10-31 19:48:36
38,Vardo,70.37,31.11,36.0,85,100,12.37,NO,2020-10-31 19:48:36
39,Vila,42.03,-8.16,59.0,94,100,4.0,PT,2020-10-31 19:48:36
40,Klaksvik,62.23,-6.59,48.2,100,97,6.93,FO,2020-10-31 19:48:36
41,Yarada,17.65,83.27,77.0,88,66,2.24,IN,2020-10-31 19:48:37
42,Chuy,-33.7,-53.46,62.31,67,10,8.9,UY,2020-10-31 19:48:37
43,Tasiilaq,65.61,-37.64,32.0,95,75,4.7,GL,2020-10-31 19:48:37
44,Nikolskoye,59.7,30.79,39.0,86,37,3.15,RU,2020-10-31 19:48:37
45,Ixtapa,20.7,-105.2,87.01,66,5,8.05,MX,2020-10-31 19:48:38
46,Port Lincoln,-34.73,135.87,53.94,87,3,11.41,AU,2020-10-31 19:48:39
47,Minab,27.15,57.08,69.8,73,0,4.7,IR,2020-10-31 19:48:39
48,Fortuna,40.6,-124.16,63.0,67,20,6.93,US,2020-10-31 19:48:39
49,Saskylakh,71.92,114.08,-5.48,83,1,6.46,RU,2020-10-31 19:48:39
50,Saint George,37.1,-113.58,62.6,20,1,0.67,US,2020-10-31 19:44:28
51,Bahia Blanca,-38.72,-62.27,80.28,17,0,3.24,AR,2020-10-31 19:48:39
52,Daru,-9.08,143.21,79.03,82,78,11.16,PG,2020-10-31 19:48:40
53,Torbay,47.67,-52.73,37.0,74,90,12.75,CA,2020-10-31 19:45:49
54,Dingle,11.0,122.67,75.74,83,100,4.14,PH,2020-10-31 19:48:40
55,Barrow,71.29,-156.79,24.8,62,90,12.75,US,2020-10-31 19:48:40
56,Kamenka,51.32,42.77,48.9,93,100,10.09,RU,2020-10-31 19:48:40
57,Busselton,-33.65,115.33,60.01,77,100,8.16,AU,2020-10-31 19:45:39
58,Vila Franca Do Campo,37.72,-25.43,69.8,94,75,17.22,PT,2020-10-31 19:48:41
59,Belmonte,-15.86,-38.88,80.6,74,75,17.22,BR,2020-10-31 19:48:41
60,Norman Wells,65.28,-126.83,1.4,84,20,3.36,CA,2020-10-31 19:46:11
61,Georgetown,5.41,100.34,75.2,94,20,8.28,MY,2020-10-31 19:48:42
62,Tucuman,-26.82,-65.22,84.2,20,0,10.29,AR,2020-10-31 19:48:42
63,Jamestown,42.1,-79.24,44.01,64,75,8.05,US,2020-10-31 19:48:42
64,Sur,22.57,59.53,70.21,56,0,1.5,OM,2020-10-31 19:48:42
65,Lebu,-37.62,-73.65,59.23,69,0,8.93,CL,2020-10-31 19:45:37
66,Tazovskiy,67.47,78.7,33.19,98,100,11.05,RU,2020-10-31 19:48:43
67,Cairns,-16.92,145.77,70.0,94,0,3.71,AU,2020-10-31 19:45:21
68,Nhulunbuy,-12.23,136.77,75.2,94,40,5.82,AU,2020-10-31 19:48:43
69,Mar Del Plata,-38.0,-57.56,66.2,55,0,13.87,AR,2020-10-31 19:45:39
70,Narsaq,60.92,-46.05,26.6,73,40,1.19,GL,2020-10-31 19:48:43
71,Esso,55.93,158.7,24.82,93,100,0.85,RU,2020-10-31 19:48:44
72,Saint-Philippe,-21.36,55.77,66.2,63,0,5.82,RE,2020-10-31 19:48:44
73,Kapoeta,4.77,33.59,81.63,40,41,5.84,SS,2020-10-31 19:48:44
74,Broken Hill,-31.95,141.43,51.8,81,0,8.05,AU,2020-10-31 19:48:44
75,Oranjestad,12.52,-70.03,84.2,79,20,13.87,AW,2020-10-31 19:48:44
76,Behshahr,36.69,53.55,72.63,22,0,4.7,IR,2020-10-31 19:48:45
77,Pisco,-13.7,-76.22,71.6,64,0,14.99,PE,2020-10-31 19:44:19
78,Pemba,-12.97,40.52,75.2,88,75,4.7,MZ,2020-10-31 19:48:45
79,Gazli,40.13,63.45,47.17,45,0,7.0,UZ,2020-10-31 19:48:45
80,San Patricio,28.02,-97.52,78.8,50,40,3.36,US,2020-10-31 19:48:46
81,Napanee,44.25,-76.95,41.0,60,40,13.87,CA,2020-10-31 19:48:46
82,Baykit,61.67,96.37,0.86,89,72,2.62,RU,2020-10-31 19:48:46
83,Faanui,-16.48,-151.75,78.96,73,15,20.74,PF,2020-10-31 19:48:47
84,San Carlos De Bariloche,-41.15,-71.31,80.6,10,0,4.7,AR,2020-10-31 19:48:47
85,Beloha,-25.17,45.05,66.67,79,0,9.75,MG,2020-10-31 19:48:47
86,Newala,-10.94,39.28,66.92,98,45,3.76,TZ,2020-10-31 19:48:47
87,Punta Arenas,-53.15,-70.92,59.0,54,75,19.46,CL,2020-10-31 19:48:47
88,Kamaishi,39.27,141.88,50.76,72,62,9.15,JP,2020-10-31 19:48:48
89,San Quintin,30.48,-115.95,76.28,40,52,7.92,MX,2020-10-31 19:48:48
90,Koungheul,13.98,-14.8,86.99,22,100,3.87,SN,2020-10-31 19:48:48
91,Balakhninskiy,58.01,114.28,13.69,86,72,3.15,RU,2020-10-31 19:48:48
92,Yaan,7.38,8.57,78.13,80,100,5.84,NG,2020-10-31 19:48:48
93,Bethel,41.37,-73.41,45.0,39,1,5.82,US,2020-10-31 19:45:00
94,Katsuura,35.13,140.3,51.8,76,0,8.05,JP,2020-10-31 19:48:49
