City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Livingstone,-17.84,25.85,75.72,30,0,3.29,clear sky,ZM,2020-11-01 20:13:36
1,Cap Malheureux,-19.98,57.61,66.99,69,31,3.0,scattered clouds,MU,2020-11-01 20:13:37
2,Lebu,-37.62,-73.65,57.83,79,7,5.35,clear sky,CL,2020-11-01 20:13:37
3,Butaritari,3.07,172.79,81.79,78,1,10.6,clear sky,KI,2020-11-01 20:13:37
4,Bredasdorp,-34.53,20.04,62.6,93,21,6.93,few clouds,ZA,2020-11-01 20:13:37
5,Kenai,60.55,-151.26,26.01,45,1,18.34,clear sky,US,2020-11-01 20:13:37
6,Vestmannaeyjar,63.44,-20.27,37.4,74,0,16.11,clear sky,IS,2020-11-01 20:13:38
7,Sao Joao Da Barra,-21.64,-41.05,73.4,69,75,23.04,broken clouds,BR,2020-11-01 20:13:38
8,Qaqortoq,60.72,-46.03,26.6,68,0,3.36,light snow,GL,2020-11-01 20:13:38
9,Harper,4.38,-7.72,78.04,87,71,6.08,broken clouds,LR,2020-11-01 20:13:38
10,Iqaluit,63.75,-68.51,10.4,78,40,4.7,scattered clouds,CA,2020-11-01 20:08:44
11,Port Lincoln,-34.73,135.87,62.29,66,65,10.54,broken clouds,AU,2020-11-01 20:13:39
12,Dikson,73.51,80.55,19.63,98,96,9.06,overcast clouds,RU,2020-11-01 20:13:39
13,Toamasina,-18.17,49.38,68.0,88,75,1.12,broken clouds,MG,2020-11-01 20:13:39
14,Kathu,7.92,98.33,77.0,94,75,2.24,broken clouds,TH,2020-11-01 20:13:39
15,Isangel,-19.55,169.27,77.4,77,10,14.88,clear sky,VU,2020-11-01 20:13:40
16,Ushuaia,-54.8,-68.3,57.2,58,75,11.41,light rain,AR,2020-11-01 20:11:21
17,Vaini,-21.2,-175.2,75.2,88,75,8.05,broken clouds,TO,2020-11-01 20:13:40
18,Ilulissat,69.22,-51.1,19.4,62,100,9.17,overcast clouds,GL,2020-11-01 20:13:40
19,Jamestown,42.1,-79.24,41.0,93,90,23.04,moderate rain,US,2020-11-01 20:11:06
20,Pisco,-13.7,-76.22,66.2,77,90,9.17,overcast clouds,PE,2020-11-01 20:10:06
21,Hobart,-42.88,147.33,55.4,87,20,5.82,few clouds,AU,2020-11-01 20:11:11
22,Saint George,37.1,-113.58,69.8,12,1,3.06,clear sky,US,2020-11-01 20:13:00
23,Acapulco,16.86,-99.89,86.72,62,39,7.99,scattered clouds,MX,2020-11-01 20:13:41
24,Maarianhamina,60.1,19.93,48.2,93,90,23.04,overcast clouds,AX,2020-11-01 20:13:41
25,Kiruna,67.86,20.23,37.4,100,100,11.41,light rain,SE,2020-11-01 20:13:42
26,Galveston,29.37,-94.97,75.99,47,1,17.22,clear sky,US,2020-11-01 20:13:42
27,Rocha,-34.48,-54.33,63.19,58,0,7.87,clear sky,UY,2020-11-01 20:13:42
28,Mataura,-46.19,168.86,48.99,87,66,4.0,broken clouds,NZ,2020-11-01 20:13:42
29,Autazes,-3.58,-59.13,90.12,53,83,2.46,broken clouds,BR,2020-11-01 20:13:43
30,Upernavik,72.79,-56.15,16.34,93,96,4.03,overcast clouds,GL,2020-11-01 20:13:44
31,Alofi,-19.06,-169.92,75.2,94,34,10.29,light rain,NU,2020-11-01 20:09:47
32,Clyde River,70.47,-68.59,14.0,78,90,4.7,overcast clouds,CA,2020-11-01 20:13:44
33,Souillac,-20.52,57.52,69.8,64,20,6.93,few clouds,MU,2020-11-01 20:13:45
34,Mar Del Plata,-38.0,-57.56,66.2,59,0,9.17,clear sky,AR,2020-11-01 20:09:12
35,Dingle,11.0,122.67,75.65,88,100,5.5,overcast clouds,PH,2020-11-01 20:13:45
36,Soure,-0.72,-48.52,84.2,70,1,13.4,clear sky,BR,2020-11-01 20:13:45
37,Tasiilaq,65.61,-37.64,28.4,79,92,5.82,overcast clouds,GL,2020-11-01 20:10:27
38,Barrow,71.29,-156.79,28.4,68,90,16.11,overcast clouds,US,2020-11-01 20:10:02
39,Nikolskoye,59.7,30.79,32.0,95,90,6.71,fog,RU,2020-11-01 20:09:56
40,Te Anau,-45.42,167.72,44.67,83,100,2.3,overcast clouds,NZ,2020-11-01 20:13:46
41,Ngama,11.78,17.17,87.75,22,76,9.13,broken clouds,TD,2020-11-01 20:13:46
42,Bengkulu,-3.8,102.27,75.18,87,100,3.85,overcast clouds,ID,2020-11-01 20:10:01
43,Bilibino,68.05,166.44,2.82,83,82,0.76,broken clouds,RU,2020-11-01 20:13:46
44,Taoudenni,22.68,-3.98,83.89,15,100,11.59,overcast clouds,ML,2020-11-01 20:13:47
45,Mayo,38.89,-76.51,59.0,100,75,5.82,broken clouds,US,2020-11-01 20:13:47
46,Bethel,41.37,-73.41,50.0,100,90,12.75,moderate rain,US,2020-11-01 20:13:47
47,Busselton,-33.65,115.33,55.0,82,81,5.79,broken clouds,AU,2020-11-01 20:13:47
48,Namatanai,-3.67,152.43,80.42,80,100,5.03,overcast clouds,PG,2020-11-01 20:13:48
49,Calama,-22.47,-68.93,73.4,12,0,24.16,clear sky,CL,2020-11-01 20:13:48
50,Tsagan Aman,47.56,46.72,46.99,99,0,5.12,clear sky,RU,2020-11-01 20:13:48
51,Tuatapere,-46.13,167.68,48.99,87,16,4.0,few clouds,NZ,2020-11-01 20:13:48
52,Ossora,59.24,163.07,32.29,94,76,3.76,broken clouds,RU,2020-11-01 20:13:48
53,San-Pedro,4.75,-6.64,77.52,90,72,5.3,broken clouds,CI,2020-11-01 20:13:49
54,Tura,25.52,90.22,69.48,96,98,1.99,overcast clouds,IN,2020-11-01 20:13:49
55,Longyearbyen,78.22,15.64,32.0,93,0,20.8,clear sky,SJ,2020-11-01 20:13:49
56,Sorong,-0.88,131.25,81.18,79,100,5.37,light rain,ID,2020-11-01 20:13:49
57,Modasa,23.47,73.3,71.55,25,55,4.43,broken clouds,IN,2020-11-01 20:13:49
58,Punta Arenas,-53.15,-70.92,51.8,76,75,17.22,broken clouds,CL,2020-11-01 20:13:43
59,Rikitea,-23.12,-134.97,74.55,86,77,22.3,light rain,PF,2020-11-01 20:11:34
60,Bluff,-46.6,168.33,48.99,87,100,4.0,overcast clouds,NZ,2020-11-01 20:13:50
61,Avarua,-21.21,-159.78,77.0,83,50,16.11,scattered clouds,CK,2020-11-01 20:13:50
62,Geraldton,-28.77,114.6,55.4,93,40,12.75,scattered clouds,AU,2020-11-01 20:13:51
63,Hamilton,39.18,-84.53,50.0,37,1,20.8,clear sky,US,2020-11-01 20:13:51
64,Kodiak,57.79,-152.41,30.2,54,75,13.87,broken clouds,US,2020-11-01 20:12:52
65,Isiro,2.77,27.62,69.08,97,100,1.97,overcast clouds,CD,2020-11-01 20:13:51
66,Soc Trang,9.6,105.98,78.8,100,40,3.36,moderate rain,VN,2020-11-01 20:13:52
67,Eganville,45.53,-77.1,44.6,81,20,9.17,few clouds,CA,2020-11-01 20:13:52
68,Barreiras,-12.15,-44.99,83.8,60,84,4.5,light rain,BR,2020-11-01 20:13:52
69,Carnarvon,-24.87,113.63,68.0,68,75,17.22,broken clouds,AU,2020-11-01 20:12:53
70,Yellowknife,62.46,-114.35,17.6,85,90,8.05,light snow,CA,2020-11-01 20:09:30
71,Cape Town,-33.93,18.42,68.0,64,0,14.99,clear sky,ZA,2020-11-01 20:13:53
72,Usinsk,65.99,57.53,26.94,98,99,12.19,light snow,RU,2020-11-01 20:13:54
73,East London,-33.02,27.91,66.25,83,81,15.23,light rain,ZA,2020-11-01 20:13:55
74,Atuona,-9.8,-139.03,77.99,78,10,15.39,light rain,PF,2020-11-01 20:13:55
75,Khatanga,71.97,102.5,2.75,92,100,5.3,overcast clouds,RU,2020-11-01 20:09:58
76,Lompoc,34.64,-120.46,82.0,31,1,8.05,clear sky,US,2020-11-01 20:13:55
77,Aklavik,68.22,-135.01,15.8,72,75,4.7,broken clouds,CA,2020-11-01 20:13:55
78,Okhotsk,59.38,143.3,18.66,87,100,16.28,overcast clouds,RU,2020-11-01 20:13:56
